Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
17812;N3609334 3;Mамоново, пир.-штатив 5.8 м;Центр 2оп Марка № 3775;СК-42;N-36-042-А-а;6090483.43;6474163.38;225.02 ;2.50;BL-42;54°56'15.9587";32°35'48.8221";3.44;CK-63/42;P-44- 74-А-а;6077514.37;P1257278.65;6081323.65;P2065022.61;СК-95;6090482.00;6474165.68;227.52;None;BL-95;32°35'48.9518";54°56'15.9129";ПЗ-90;3094004.05;1978317.14;5197601.69;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
17866;Формат??;Формат??;Центр 153;СК-42;N-36-031-В-а;6108553.50;6501800.50;232.80 ;2.99;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 75-В-а;6095788.21;P1284781.60;6098406.90;P2093294.10;СК-95*;6108552.25;6501802.89;235.79;None;BL-95;33°01'41.6751";55°06'02.6536";ПЗ-90;3066562.64;1993451.08;5208010.97;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
18037;N3609341 3;Eлча, сигн. 11.6 м;Центр 42оп;СК-42;N-36-042-Б-б;6088951.75;6492178.16;214.84 ;2.68;BL-42;54°55'28.6126";32°52'40.8114";3.54;CK-63/42;P-44- 74-Б-г;6076115.69;P1275304.24;6079153.01;P2082978.46;СК-95;6088950.37;6492180.45;217.52;None;BL-95;32°52'40.9401";54°55'28.5681";ПЗ-90;3085261.63;1994120.51;5196752.28;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
18246;Формат??;Формат??;Центр 153;СК-42;N-36-031-В-а;6108821.80;6502134.80;232.50 ;3.00;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 75-В-а;6096058.98;P1285113.91;6098663.22;P2093637.83;СК-95*;6108820.56;6502137.18;235.50;None;BL-95;33°02'00.5348";55°06'11.3252";ПЗ-90;3066195.81;1993611.47;5208164.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
18528;Формат??;Формат??;Центр 153;СК-42;N-36-029-Г-г;6097720.10;6467289.70;226.60 ;2.48;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-44- 74-А-а;6084700.02;P1250351.79;6088802.92;P2058407.32;СК-95*;6097718.69;6467292.12;229.08;None;BL-95;32°29'19.9275";55°00'08.4720";ПЗ-90;3092763.36;1969315.52;5201731.10;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
18968;Формат??;Формат??;Центр 153;СК-42;N-36-041-Б-б;6097205.50;6467038.20;223.90 ;2.48;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-44- 74-А-а;6084183.58;P1250104.10;6088297.35;P2058137.59;СК-95*;6097204.09;6467040.62;226.38;None;BL-95;32°29'05.9925";54°59'51.7721";ПЗ-90;3093251.96;1969332.95;5201432.67;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
19091;N3609339 3;Подхолмица, сигн. 14.9 м;Центр 2оп Марка № 3737;СК-42;N-36-042-Б-б;6092326.94;6498397.05;214.50 ;2.78;BL-42;54°57'17.9705";32°58'29.9281";3.58;CK-63/42;P-44- 74-Б-б;6079536.73;P1281498.10;6082306.48;P2089315.27;СК-95;6092325.58;6498399.39;217.28;None;BL-95;32°58'30.0596";54°57'17.9265";ПЗ-90;3079559.40;1997832.92;5198694.74;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
19964;N3609309 3;Перегоща, сигн. 23.4 м;Центр 1;СК-42;N-36-029-Г-б;6108505.89;6464577.94;244.31 ;2.48;BL-42;55°05'56.6172";32°26'42.4242";3.40;CK-63/42;P-45- 73-Г-г;6095465.32;P1247560.42;6099473.43;P 439043.67;СК-95;6108504.46;6464580.52;246.79;None;BL-95;32°26'42.5704";55°05'56.5716";ПЗ-90;3086827.16;1962227.15;5207912.37;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
20569;N3609315 3;Брехачи, сигн. 18.6 м;Центр 1;СК-42;N-36-030-Б-г;6123841.20;6492863.13;234.24 ;3.03;BL-42;55°14'16.8743";32°53'16.1265";3.62;CK-63/42;P-45- 74-Б-г;6111009.51;P1275731.22;6114007.84;P2084903.63;СК-95;6123840.01;6492865.73;237.27;None;BL-95;32°53'16.2737";55°14'16.8360";ПЗ-90;3060904.51;1979119.92;5216741.08;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21263;N3609335 3;Kушково, сигн. 30.9 м;Центр 42оп;СК-42;N-36-042-А-г;6083907.25;6483517.77;191.61 ;2.57;BL-42;54°52'44.7263";32°44'35.5816";3.48;CK-63/42;P-44- 74-Б-в;6071007.42;P1266681.27;6074417.11;P2074141.46;СК-95;6083905.86;6483520.05;194.18;None;BL-95;32°44'35.7098";54°52'44.6816";ПЗ-90;3093420.86;1989092.60;5193819.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
